,Date,Deaths,Recoveries,Daily Positive Cases,Active Cases,Daily Recoveries
0,2021-06-01,7349,412593,519,10636,519
1,2021-06-02,7361,413179,601,10639,586
2,2021-06-03,7381,413680,714,10832,501
3,2021-06-04,7402,414496,906,10901,816
4,2021-06-05,7423,415317,1317,11376,821
5,2021-06-06,7438,416181,1019,11516,864
6,2021-06-07,7457,416994,1197,11881,813
7,2021-06-08,7478,417997,755,11612,1003
8,2021-06-09,7499,419109,1371,11850,1112
9,2021-06-10,7523,420211,2096,12820,1102
10,2021-06-11,7543,421396,2293,13908,1185
11,2021-06-12,7557,422121,2455,15624,725
12,2021-06-13,7571,423056,2769,17444,935
13,2021-06-14,7609,424088,2722,19096,1032
14,2021-06-15,7634,425417,1502,19244,1329
15,2021-06-16,7665,426695,2376,20311,1278
16,2021-06-17,7713,428764,4144,22338,2069
17,2021-06-18,7777,431264,4737,24511,2500
18,2021-06-19,7836,433499,4895,27112,2235
19,2021-06-20,7905,435982,5582,30142,2483
20,2021-06-21,7976,439007,5014,32060,3025
21,2021-06-22,8014,442059,3221,32191,3052
22,2021-06-23,8057,443195,4693,35705,1136
23,2021-06-24,8107,445718,7505,40637,2523
24,2021-06-25,8177,448288,6934,44931,2570
25,2021-06-26,8220,451013,9271,51434,2725
26,2021-06-27,8269,454497,9394,57295,3484
27,2021-06-28,8348,457935,8348,62126,3438
28,2021-06-29,8426,461439,7379,65923,3504
29,2021-06-30,8486,464943,7680,70039,3504
